KampNr,Kamp,Dato,KampID,Sæson,Stadie,Periode,teamid,number,Event,Nummer,Spiller,Tid
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,3,29513,1,Goal,22,Christian Holmsteen,2769
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,3,29513,0,Assist,9,Frederik Mads Pil,2769
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,3,29508,201,Penalty,10,Jakub Lyskawa,2811
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,3,29513,0,Time-Out,,,3258
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,3,29508,0,Time-Out,,,3591
40000941,Copenhagen FC - RungstedHørsholm,44859,35311,20222023,Grundspil,4,29513,1,Goal,42,Magnus Bidstrup-Mynster,4184
40000942,Hvidovre Attack - Benløse IF,44822,35312,20222023,Grundspil,1,29511,0,Assist,45,Jonas Nordheim,9
40000942,Hvidovre Attack - Benløse IF,44822,35312,20222023,Grundspil,1,29511,1,Goal,25,Marko W. Krogsgaard,9
40000942,Hvidovre Attack - Benløse IF,44822,35312,20222023,Grundspil,1,29511,1,Goal,45,Jonas Nordheim,36
40000942,Hvidovre Attack - Benløse IF,44822,35312,20222023,Grundspil,1,29511,0,Assist,12,Jannik trolle,36
40000942,Hvidovre Attack - Benløse IF,44822,35312,20222023,Grundspil,1,29511,0,Assist,92,Frederik Kobberup,113
40000942,Hvidovre Attack - Benløse IF,44822,35312,20222023,Grundspil,1,29511,1,Goal,2,Mathias Fischer Hoerby Jensen,113
